data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-17,2026-08-17T12:40:00+09:00,-273,30
2026-08-17,2026-08-17T13:00:00+09:00,-273,30
2026-08-17,2026-08-17T13:20:00+09:00,-390,30
2026-08-17,2026-08-17T13:40:00+09:00,-397,30
2026-08-17,2026-08-17T14:00:00+09:00,-397,30
2026-08-17,2026-08-17T14:20:00+09:00,-507,30
2026-08-17,2026-08-17T14:40:00+09:00,-570,30
2026-08-17,2026-08-17T15:00:00+09:00,-570,30
2026-08-17,2026-08-17T15:20:00+09:00,-560,30
2026-08-17,2026-08-17T15:40:00+09:00,-560,30
2026-08-17,2026-08-17T16:00:00+09:00,-550,30
2026-08-17,2026-08-17T16:20:00+09:00,-550,30
2026-08-17,2026-08-17T16:40:00+09:00,-510,30
2026-08-17,2026-08-17T17:00:00+09:00,-510,30
2026-08-17,2026-08-17T17:20:00+09:00,-740,30
2026-08-17,2026-08-17T17:40:00+09:00,-740,30
2026-08-17,2026-08-17T18:00:00+09:00,-650,30
2026-08-17,2026-08-17T18:20:00+09:00,-650,30
2026-08-17,2026-08-17T18:40:00+09:00,-650,30
2026-08-17,2026-08-17T19:00:00+09:00,-650,30
2026-08-17,2026-08-17T19:20:00+09:00,-790,30
2026-08-17,2026-08-17T19:40:00+09:00,-790,30
2026-08-17,2026-08-17T20:00:00+09:00,-857,30
2026-08-17,2026-08-17T20:20:00+09:00,-857,30
2026-08-17,2026-08-17T20:40:00+09:00,-650,30
2026-08-17,2026-08-17T21:00:00+09:00,-650,30
2026-08-17,2026-08-17T21:20:00+09:00,-267,30
2026-08-17,2026-08-17T21:40:00+09:00,-267,30
2026-08-17,2026-08-17T22:00:00+09:00,-93,30
2026-08-17,2026-08-17T22:20:00+09:00,-93,30
2026-08-17,2026-08-17T22:40:00+09:00,-127,30
2026-08-17,2026-08-17T23:00:00+09:00,-127,30
2026-08-17,2026-08-17T23:20:00+09:00,-27,30
2026-08-18,2026-08-18T11:00:00+09:00,-113,30
2026-08-18,2026-08-18T11:20:00+09:00,-113,30
2026-08-18,2026-08-18T11:40:00+09:00,-160,30
2026-08-18,2026-08-18T12:00:00+09:00,-160,30
2026-08-18,2026-08-18T12:20:00+09:00,13,30
2026-08-18,2026-08-18T12:40:00+09:00,63,30
2026-08-18,2026-08-18T13:00:00+09:00,63,30
2026-08-18,2026-08-18T13:20:00+09:00,143,30
2026-08-18,2026-08-18T13:40:00+09:00,157,30
2026-08-18,2026-08-18T14:00:00+09:00,157,30
2026-08-18,2026-08-18T14:20:00+09:00,190,30
2026-08-18,2026-08-18T14:40:00+09:00,277,30
2026-08-18,2026-08-18T15:00:00+09:00,277,30
2026-08-18,2026-08-18T15:20:00+09:00,640,30
2026-08-18,2026-08-18T15:40:00+09:00,640,30
2026-08-18,2026-08-18T16:00:00+09:00,693,30
2026-08-18,2026-08-18T16:20:00+09:00,693,30
2026-08-18,2026-08-18T16:40:00+09:00,797,30
2026-08-18,2026-08-18T17:00:00+09:00,797,30
2026-08-18,2026-08-18T17:20:00+09:00,753,30
2026-08-18,2026-08-18T17:40:00+09:00,753,30
2026-08-18,2026-08-18T18:00:00+09:00,763,30
2026-08-18,2026-08-18T18:20:00+09:00,763,30
2026-08-18,2026-08-18T18:40:00+09:00,883,30
2026-08-18,2026-08-18T19:00:00+09:00,883,30
2026-08-18,2026-08-18T19:20:00+09:00,860,30
2026-08-18,2026-08-18T19:40:00+09:00,860,30
2026-08-18,2026-08-18T20:00:00+09:00,827,30
2026-08-18,2026-08-18T20:20:00+09:00,827,30
2026-08-18,2026-08-18T20:40:00+09:00,1017,30
2026-08-18,2026-08-18T21:00:00+09:00,1017,30
2026-08-18,2026-08-18T21:20:00+09:00,930,30
2026-08-18,2026-08-18T21:40:00+09:00,930,30
2026-08-18,2026-08-18T22:00:00+09:00,1087,30
2026-08-18,2026-08-18T22:20:00+09:00,1087,30
2026-08-18,2026-08-18T22:40:00+09:00,1160,30
2026-08-18,2026-08-18T23:00:00+09:00,1160,30
2026-08-18,2026-08-18T23:20:00+09:00,1240,30
2026-08-19,2026-08-19T11:00:00+09:00,-20,30
2026-08-19,2026-08-19T11:20:00+09:00,-20,30
2026-08-19,2026-08-19T11:40:00+09:00,47,30
